1403636580313555456,0.00025,0.02146,-0.22923,-0.06022,0.82804,0.05562,0.55464,-0.03404,0.03192,-0.36647,
1403636580363555328,-0.00151,0.02331,-0.24696,-0.05992,0.83160,0.05738,0.54915,-0.03415,0.03647,-0.33876,
1403636580413555456,-0.00296,0.02500,-0.26264,-0.05808,0.83623,0.05930,0.54206,-0.02317,0.03507,-0.28565,
1403636580463555584,-0.00384,0.02698,-0.27495,-0.05727,0.84144,0.06076,0.53386,-0.00858,0.04247,-0.19949,
1403636580513555456,-0.01101,0.02302,-0.27353,-0.05616,0.84630,0.06162,0.52614,0.00001,0.03395,-0.04597,
1403636580563555584,-0.01277,0.02220,-0.27204,-0.05723,0.85000,0.06217,0.51996,0.01511,0.02643,0.12832,
1403636580613555456,-0.01286,0.02209,-0.26165,-0.05847,0.85153,0.06303,0.51720,0.03852,0.02955,0.31009,
1403636580663555328,-0.01029,0.02377,-0.24231,-0.05810,0.85137,0.06364,0.51744,0.06695,0.03946,0.46031,
1403636580713555456,-0.00608,0.02572,-0.21600,-0.05561,0.84981,0.06482,0.52013,0.09781,0.03822,0.58327,
1403636580763555584,-0.00150,0.02654,-0.18399,-0.05189,0.84720,0.06611,0.52458,0.12974,0.03839,0.68600,
1403636580813555456,0.00440,0.02793,-0.14794,-0.04725,0.84397,0.06686,0.53010,0.13557,0.04628,0.75033,
1403636580863555328,0.01080,0.02986,-0.10922,-0.04128,0.84023,0.06674,0.53652,0.15097,0.05271,0.79048,
1403636580913555456,0.01719,0.03234,-0.07026,-0.03495,0.83629,0.06645,0.54312,0.14507,0.07660,0.77754,
1403636580963555584,0.02447,0.03667,-0.03193,-0.03203,0.83254,0.06690,0.54898,0.14260,0.09032,0.74712,
1403636581013555456,0.03023,0.04055,0.00384,-0.03115,0.82882,0.06763,0.55454,0.14028,0.10092,0.68950,
1403636581063555584,0.03743,0.04560,0.03731,-0.03218,0.82558,0.06774,0.55928,0.14689,0.09425,0.65002,
1403636581113555456,0.04508,0.05032,0.06845,-0.03226,0.82244,0.06692,0.56398,0.16022,0.09813,0.59358,
1403636581163555328,0.05303,0.05522,0.09666,-0.03351,0.81868,0.06431,0.56965,0.15553,0.09245,0.53469,
1403636581213555456,0.06081,0.05976,0.12155,-0.03422,0.81468,0.06264,0.57550,0.15713,0.09649,0.46131,
1403636581263555584,0.06839,0.06478,0.14280,-0.03571,0.81023,0.06068,0.58187,0.14313,0.10248,0.38329,
1403636581313555456,0.07520,0.07006,0.15863,-0.03549,0.80627,0.06167,0.58726,0.13227,0.11525,0.24004,
1403636581363555328,0.08204,0.07613,0.16648,-0.03483,0.80373,0.06161,0.59077,0.14216,0.11967,0.06967,
1403636581413555456,0.08564,0.07890,0.16641,-0.03196,0.80298,0.06281,0.59183,0.13817,0.11149,-0.11220,
1403636581463555584,0.09302,0.08481,0.15622,-0.02858,0.80475,0.06489,0.58936,0.15411,0.12151,-0.29347,
1403636581513555456,0.09681,0.08781,0.13947,-0.02603,0.80767,0.06722,0.58521,0.16082,0.12622,-0.43765,
1403636581563555584,0.10162,0.09128,0.11607,-0.02601,0.81143,0.06662,0.58006,0.17686,0.14352,-0.56286,
